ºbj‚r‚‚bj‚r‚’bjŠr¢’bjºr¢ŠbŠÂ‚r’‚bj’‚Šrš‚bŠ‚‚r‚‚br…¹5
2990,1291893,-1.35,-0.30,10.01,-0.00,-0.01,-1.62,-7.56,180.20,-201.30,100.00,nan
2991,1292295,-1.34,-0.28,9.96,-0.00,-0.02,-1.69,-7.65,180.20,-201.30,100.00,nan
2992,1292699,-1.35,-0.27,9.98,-0.01,-0.01,-1.72,-7.73,180.20,-201.30,100.00,nan
2993,1293101,-1.35,-0.28,9.96,-0.01,-0.02,-1.75,-7.78,180.20,-201.30,100.00,nan
2994,1293503,-1.34,-0.29,9.98,-0.00,-0.02,-1.77,-7.78,180.20,-201.30,100.00,nan
2995,1293905,-1.33,-0.29,9.95,-0.00,-0.02,-1.78,-7.77,180.20,-201.30,100.00,nan
2996,1294307,-1.36,-0.29,9.98,-0.00,-0.02,-1.77,-7.80,180.20,-201.30,100.00,nan
2997,1294709,-1.35,-0.28,10.00,-0.01,-0.01,-1.75,-7.79,180.20,-201.30,100.00,nan
2998,1295118,-1.33,-0.28,9.97,-0.01,-0.02,-1.73,-7.74,180.20,-201.30,100.00,nan
2999,1295520,-1.36,-0.28,10.01,-0.00,-0.02,-1.70,-7.74,180.20,-201.30,100.00,nan
3000,1295922,-1.33,-0.30,9.99,-0.00,-0.02,-1.71,-7.70,180.20,-201.30,100.00,nan
3001,1296324,-1.33,-0.30,9.96,-0.00,-0.01,-1.73,-7.67,180.20,-201.30,100.00,nan
3002,1296726,-1.34,-0.30,10.00,-0.01,-0.02,-1.73,-7.65,180.20,-201.30,100.00,nan
3003,1297128,-1.33,-0.30,9.99,-0.01,-0.02,-1.73,-7.63,180.20,-201.30,100.00,nan
3004,1298532,-1.35,-0.28,9.96,-0.00,-0.02,-1.69,-7.65,180.20,-201.30,100.00,nan
3005,1298934,-1.33,-0.29,10.01,-0.00,-0.01,-1.67,-7.62,180.20,-201.30,100.00,nan
3006,1299336,-1.39,-0.32,9.97,0.00,-0.03,-1.73,-7.75,180.20,-201.30,100.00,nan
3007,1299733,-1.37,-0.34,9.97,-0.01,-0.00,-1.82,-7.79,180.20,-201.30,100.00,nan
3008,1300135,-1.37,-0.29,9.98,-0.02,0.00,-1.79,-7.82,180.20,-201.30,100.00,nan
3009,1300531,-1.42,-0.32,9.99,0.01,-0.03,-1.81,-7.93,180.20,-201.30,100.00,nan
3010,1300928,-1.37,-0.32,10.01,-0.00,-0.02,-1.83,-7.92,180.20,-201.30,100.00,nan
3011,1301332,-1.40,-0.34,10.00,-0.00,-0.02,-1.87,-7.95,180.20,-201.30,100.00,nan
3012,1301734,-1.43,-0.36,9.98,-0.00,-0.01,-1.95,-8.05,180.20,-201.30,100.00,nan
3013,1302136,-1.42,-0.35,9.99,-0.01,-0.02,-2.00,-8.09,180.20,-201.30,100.00,nan
3014,1302538,-1.43,-0.36,9.96,-0.00,-0.02,-2.04,-8.15,180.20,-201.30,100.00,nan
3015,1302940,-1.42,-0.34,9.99,-0.00,-0.01,-2.04,-8.16,180.20,-201.30,100.00,nan
3016,1303342,-1.42,-0.36,10.00,-0.00,-0.01,-2.06,-8.15,180.20,-201.30,100.00,nan
3017,1303746,-1.43,-0.36,9.98,-0.01,-0.02,-2.09,-8.17,180.20,-201.30,100.00,nan
3018,1304148,-1.42,-0.35,9.98,-0.00,-0.01,-2.09,-8.17,180.20,-201.30,100.00,nan
3019,1304550,-1.40,-0.36,9.99,-0.00,-0.02,-2.09,-8.12,180.20,-201.30,100.00,nan
3020,1304952,-1.43,-0.34,9.99,-0.00,-0.02,-2.07,-8.13,180.20,-201.30,100.00,nan
3021,1305354,-1.42,-0.37,9.99,-0.00,-0.01,-2.10,-8.13,180.20,-201.30,100.00,nan
3022,1305756,-1.43,-0.33,9.98,-0.00,-0.02,-2.04,-8.14,180.20,-201.30,100.00,nan
3023,1306160,-1.41,-0.35,9.97,-0.00,-0.01,-2.03,-8.12,180.20,-201.30,100.00,nan
3024,1306567,-1.38,-0.37,9.96,-0.00,-0.01,-2.06,-8.04,180.20,-201.30,100.00,nan
