CANSAT data log:
1,9074,0.00,0.02,9.84,0.01,-0.01,0.09,-0.05,31.20,1005.50,46.20,-0.15
2,9454,0.00,0.02,9.88,-0.01,0.01,0.09,-0.02,31.20,1005.50,46.20,-0.15
3,9835,0.02,-0.01,9.83,-0.00,0.00,0.04,0.04,31.20,1005.40,46.20,0.69
4,10210,0.00,0.03,9.89,-0.00,0.00,0.09,0.05,31.20,1005.50,46.20,-0.15
5,10590,0.00,0.01,9.83,-0.00,0.00,0.07,0.04,31.10,1005.40,46.30,0.69
6,10965,0.01,0.05,9.87,0.01,-0.01,0.18,0.06,31.10,1005.50,46.20,-0.15
7,11345,-0.03,0.03,9.86,0.00,-0.00,0.18,-0.03,31.20,1005.40,46.30,0.69
8,11727,0.03,-0.00,9.84,0.06,-0.06,0.13,0.04,31.10,1005.40,46.30,0.69
12,14432,0.03,-0.02,9.88,0.01,-0.01,-0.35,-13.96,31.40,1005.60,46.50,-0.98
13,14822,0.11,0.00,9.86,-0.00,0.00,-0.24,-8.76,31.40,1005.60,46.40,-0.98
14,15208,0.08,0.00,9.85,-0.00,0.00,-0.17,-5.49,31.40,1005.60,46.40,-0.98
15,15594,0.05,-0.00,9.85,0.00,-0.00,-0.13,-3.21,31.40,1005.60,46.30,-0.98
16,15980,0.07,-0.02,9.86,-0.00,0.00,-0.13,-1.49,31.30,1005.60,46.30,-0.98
17,16366,-0.04,-0.01,9.85,-0.00,0.00,-0.12,-0.46,31.30,1005.60,46.30,-0.98
18,16760,0.09,-0.04,9.86,-0.00,-0.00,-0.15,0.49,31.40,1005.60,46.40,-0.98
19,17145,0.04,0.05,9.85,0.00,-0.00,-0.02,1.02,31.40,1005.60,46.40,-0.98
20,17526,0.07,0.01,9.84,0.00,-0.00,0.02,1.37,31.40,1005.60,46.40,-0.98
21,17906,0.07,0.00,9.83,0.00,0.00,0.04,1.55,31.40,1005.60,46.40,-0.98
22,18286,0.08,-0.02,9.83,-0.00,-0.00,-0.01,1.61,31.40,1005.60,46.40,-0.98
23,18672,0.08,-0.00,9.87,-0.00,-0.00,-0.00,1.58,31.40,1005.60,46.40,-0.98
24,19058,0.07,-0.01,9.85,-0.00,0.00,-0.02,1.48,31.40,1005.60,46.30,-0.98
25,19446,0.07,-0.01,9.85,0.00,0.00,-0.03,1.34,31.40,1005.60,46.30,-0.98
26,19826,0.07,-0.01,9.86,-0.00,0.00,-0.04,1.19,31.40,1005.60,46.40,-0.98
27,20212,0.06,0.04,9.83,0.00,-0.00,0.05,1.02,31.40,1005.60,46.30,-0.98
28,20593,0.06,-0.01,9.84,0.00,-0.00,0.03,0.88,31.40,1005.60,46.30,-0.98
29,20974,0.07,0.01,9.85,0.00,0.00,0.04,0.77,31.30,1005.60,46.30,-0.98
30,21354,0.08,0.05,9.84,-0.00,0.00,0.13,0.69,31.30,1005.60,46.30,-0.98
31,21936,-0.12,-0.18,9.85,0.00,-0.00,-0.30,0.18,31.40,1005.60,46.30,-0.98
32,22324,0.02,-0.03,9.86,-0.00,0.00,-0.29,0.10,31.40,1005.60,46.30,-0.98
33,22710,0.07,-0.03,9.86,-0.00,0.00,-0.27,0.16,31.40,1005.60,46.30,-0.98
34,23095,0.07,0.01,9.84,0.00,0.00,-0.19,0.21,31.40,1005.60,46.30,-0.98
35,23476,0.08,0.00,9.84,-0.00,0.00,-0.13,0.27,31.40,1005.60,46.20,-0.98
